,KENYA NAIROBI SE (NSE20) - PRICE INDEX,KENYA NAIROBI SE ALL SHARE - PRICE INDEX,FTSE/JSE ALL SHARE - PRICE INDEX,EGX 100 IDX - PRICE INDEX,EGX 20 CAPPED IDX 'DEAD' - PRICE INDEX,EGX 70 IDX - PRICE INDEX,BRVM COMPOSITE - PRICE INDEX,BRVM TOP TEN - PRICE INDEX,GHANA COMPOSITE GSE-CI - PRICE INDEX,MAURITIUS SE SEM 10 - PRICE INDEX,MOROCCO ALL SHARE (MASI) - PRICE INDEX,NIGERIA SE 30 INDEX - PRICE INDEX,NIGERIA ALL SHARE - PRICE INDEX,ZM LUSAKA SE ALL SHARE INDEX NADJ,BOTSWANA SE DMS COS. IDX. - PRICE INDEX,TUNISIA TUNINDEX - PRICE INDEX,TUNISIA TUNINDEX 20 - PRICE INDEX
CURRENCY,KS,KS,R,E?,E?,E?,,,,,,,,,,,
01-01-99,2962.06,NA,5015.72,NA,NA,NA,98.05,94.61,NA,111.7,NA,NA,NA,158.94,NA,917.08,NA
04-01-99,2965.85,NA,4989.21,NA,NA,NA,98.04,94.76,NA,111.92,NA,NA,NA,162.83,NA,916.75,NA
05-01-99,3003.98,NA,5006.19,NA,NA,NA,98.04,94.76,NA,111.43,NA,NA,NA,167.14,NA,916.17,NA
06-01-99,3071.49,NA,5253.79,NA,NA,NA,97.87,94.9,NA,111.43,NA,NA,NA,166.83,NA,916.17,NA
07-01-99,3080.74,NA,5304.66,NA,NA,NA,97.87,94.9,NA,111.81,NA,NA,NA,176.52,NA,917.08,NA
08-01-99,3119.89,NA,5398.3,NA,NA,NA,97.97,95.08,NA,112,NA,NA,NA,178.51,NA,920.21,NA
11-01-99,3123.87,NA,5471.3,NA,NA,NA,97.36,94.71,NA,111.77,NA,NA,NA,204.86,NA,920.21,NA
12-01-99,3126.58,NA,5459.57,NA,NA,NA,97.36,94.71,NA,111.57,NA,NA,NA,202.99,NA,920.39,NA
13-01-99,3121.01,NA,5229.28,NA,NA,NA,97.38,94.65,NA,111.39,NA,NA,NA,204.73,NA,921.97,NA
14-01-99,3087.89,NA,5282.77,NA,NA,NA,97.38,94.65,NA,109.94,NA,NA,NA,197.41,NA,923.14,NA
15-01-99,3058.99,NA,5233.25,NA,NA,NA,97.38,94.65,NA,109.48,NA,NA,NA,197.81,NA,923.14,NA
18-01-99,3037.82,NA,5335.61,NA,NA,NA,96.84,93.98,NA,108.83,NA,NA,NA,195.36,NA,923.14,NA
19-01-99,3028.34,NA,5370.28,NA,NA,NA,96.84,93.98,NA,108.4,NA,NA,NA,190.72,NA,923.14,NA
20-01-99,3028.34,NA,5345.63,NA,NA,NA,96.68,93.98,NA,108.4,NA,NA,NA,197.04,NA,923.14,NA
21-01-99,3030.51,NA,5295.28,NA,NA,NA,96.68,93.98,NA,108.34,NA,NA,NA,204.05,NA,929.28,NA
22-01-99,3014.37,NA,5216.3,NA,NA,NA,96.92,94.28,NA,108.07,NA,NA,NA,203.98,NA,934.9,NA
25-01-99,3000.63,NA,5211.31,NA,NA,NA,96.73,94.28,NA,107.57,NA,NA,NA,206.24,NA,939.9,NA
26-01-99,3000.63,NA,5230.07,NA,NA,NA,96.73,94.28,NA,106.94,NA,NA,NA,234.38,NA,940.16,NA
27-01-99,2991.32,NA,5339.27,NA,NA,NA,96.54,94.1,NA,106.85,NA,NA,NA,240.33,NA,942.34,NA
28-01-99,2988,NA,5392,NA,NA,NA,96.54,94.1,NA,106.98,NA,NA,NA,248.47,NA,947.66,NA
29-01-99,2983.48,NA,5414.79,NA,NA,NA,96.75,94.7,NA,106.47,NA,NA,NA,278.34,NA,954.14,NA
01-02-99,2991.02,NA,5447.85,NA,NA,NA,96.61,94.71,NA,106.44,NA,NA,NA,310.83,NA,973.05,NA
02-02-99,2949.36,NA,5410.6,NA,NA,NA,96.61,94.71,NA,106.44,NA,NA,NA,311.97,NA,1003.09,NA
03-02-99,2946.8,NA,5383.65,NA,NA,NA,95.33,94.13,NA,106.56,NA,NA,NA,305.08,NA,1028.09,NA
04-02-99,2947.44,NA,5428.46,NA,NA,NA,95.33,94.13,NA,106.29,NA,NA,NA,297.61,NA,1040.03,NA
05-02-99,2967.36,NA,5453.67,NA,NA,NA,95.04,93.6,NA,106.11,NA,NA,NA,274.48,NA,1040.04,NA
08-02-99,2946.09,NA,5509.23,NA,NA,NA,94.77,93.16,NA,105.88,NA,NA,NA,303.85,NA,1036.48,NA
09-02-99,2942.68,NA,5498.29,NA,NA,NA,94.77,93.16,NA,105.69,NA,NA,NA,303.61,NA,1031.68,NA
10-02-99,2942.78,NA,5454.42,NA,NA,NA,94.84,93.16,NA,105.6,NA,NA,NA,305.61,NA,1025.16,NA
11-02-99,2939.49,NA,5511.55,NA,NA,NA,94.84,93.16,NA,105.73,NA,NA,NA,332.72,NA,1020.13,NA
12-02-99,2932.33,NA,5559.37,NA,NA,NA,94.44,93.09,NA,105.65,NA,NA,NA,301.74,NA,1023.71,NA
15-02-99,2949.27,NA,5533.3,NA,NA,NA,94.26,92.91,NA,105.65,NA,NA,NA,301.54,NA,1031.41,NA
16-02-99,2949.91,NA,5528.28,NA,NA,NA,94.26,92.91,NA,105.65,NA,NA,NA,301.5,NA,1039.81,NA
17-02-99,2973.81,NA,5501.06,NA,NA,NA,93.93,92.39,NA,105.48,NA,NA,NA,277.89,NA,1053.26,NA
18-02-99,2977.6,NA,5532.95,NA,NA,NA,93.93,92.39,NA,105.8,NA,NA,NA,257.32,NA,1070.78,NA
19-02-99,2930.56,NA,5500.67,NA,NA,NA,92.88,91.38,NA,105.8,NA,NA,NA,303.41,NA,1088.2,NA
22-02-99,2940.94,NA,5529.44,NA,NA,NA,92.6,91.96,NA,105.64,NA,NA,NA,313.36,NA,1108.92,NA
23-02-99,2970.13,NA,5568.74,NA,NA,NA,92.6,91.96,NA,105.55,NA,NA,NA,325.36,NA,1131.56,NA
24-02-99,2970.81,NA,5567.83,NA,NA,NA,93.23,92.7,NA,104.98,NA,NA,NA,315.83,NA,1143.96,NA
25-02-99,2944.32,NA,5571.02,NA,NA,NA,93.23,92.7,NA,104.98,NA,NA,NA,310.1,NA,1154.31,NA
26-02-99,2988.88,NA,5543.5,NA,NA,NA,93.53,92.93,NA,103.97,NA,NA,NA,323.36,NA,1155.79,NA
01-03-99,2986.81,NA,5581.34,NA,NA,NA,93.98,93.45,NA,104.6,NA,NA,NA,335.08,NA,1155.79,NA
02-03-99,2986.81,NA,5611.24,NA,NA,NA,93.98,93.45,NA,104.19,NA,NA,NA,334.56,NA,1116.83,NA
03-03-99,2974.51,NA,5712.63,NA,NA,NA,93.93,93.52,NA,104.11,NA,NA,NA,332.33,NA,1116.83,NA
04-03-99,2974.85,NA,5751.51,NA,NA,NA,93.93,93.52,NA,103.63,NA,NA,NA,336.2,NA,1119.4,NA
05-03-99,2963.83,NA,5833.34,NA,NA,NA,94,92.73,NA,103.49,NA,NA,NA,333.8,NA,1121.56,NA
08-03-99,2964.1,NA,5882.73,NA,NA,NA,93.98,92.73,NA,103.07,NA,NA,NA,336.6,NA,1120.45,NA
09-03-99,2909.3,NA,5880.22,NA,NA,NA,93.98,92.73,NA,103.07,NA,NA,NA,334.75,NA,1124.4,NA
10-03-99,2915.28,NA,5867.47,NA,NA,NA,93.54,92.23,NA,101.64,NA,NA,NA,367.53,NA,1124.4,NA
11-03-99,2891.81,NA,5954.11,NA,NA,NA,93.54,92.23,NA,100.29,NA,NA,NA,382.43,NA,1121.32,NA
12-03-99,2891.47,NA,6017.52,NA,NA,NA,94.49,94.04,NA,100.29,NA,NA,NA,371.99,NA,1121.05,NA
15-03-99,2872.8,NA,5989.51,NA,NA,NA,94.41,93.86,NA,98.4,NA,NA,NA,385.26,NA,1118.22,NA
16-03-99,2862.09,NA,6088.16,NA,NA,NA,94.41,93.86,NA,97.63,NA,NA,NA,380.26,NA,1112.56,NA
17-03-99,2863.21,NA,6108.3,NA,NA,NA,94.44,93.86,NA,97.45,NA,NA,NA,388.9,NA,1109.91,NA
18-03-99,2847.06,NA,6077.88,NA,NA,NA,94.44,93.86,NA,97.45,NA,NA,NA,385.8,NA,1109.52,NA
19-03-99,2834.99,NA,6170.65,NA,NA,NA,94.34,93.73,NA,99.29,NA,NA,NA,369.79,NA,1105.87,NA
22-03-99,2839.19,NA,6170.65,NA,NA,NA,94.18,93.63,NA,100.6,NA,NA,NA,379,NA,1109.68,NA
23-03-99,2836.04,NA,6136.4,NA,NA,NA,94.18,93.63,NA,101.34,NA,NA,NA,370.97,NA,1111.76,NA
24-03-99,2840.06,NA,6059.68,NA,NA,NA,94.44,93.78,NA,102.12,NA,NA,NA,413,NA,1113.4,NA
25-03-99,2859.01,NA,6109.1,NA,NA,NA,94.44,93.78,NA,102.29,NA,NA,NA,431.97,NA,1111.41,NA
26-03-99,2853.24,NA,6046.37,NA,NA,NA,95.65,95.13,NA,101.72,NA,NA,NA,432.79,NA,1113.85,NA
29-03-99,2848.79,NA,6031.77,NA,NA,NA,95.95,95.72,NA,101.82,NA,NA,NA,436.06,NA,1113.85,NA
30-03-99,2814.26,NA,6016.01,NA,NA,NA,95.95,95.72,NA,101.86,NA,NA,NA,447.46,NA,1109.27,NA
31-03-99,2815.29,NA,5973.43,NA,NA,NA,95.05,94.93,NA,102.45,NA,NA,NA,461.98,NA,1105,NA
01-04-99,2806.95,NA,5992.99,NA,NA,NA,95.05,94.93,NA,102.5,NA,NA,NA,503.71,NA,1101.35,NA
02-04-99,2806.95,NA,5992.99,NA,NA,NA,95.05,94.93,NA,102.35,NA,NA,NA,605.22,NA,1096.67,NA
05-04-99,2806.95,NA,5992.99,NA,NA,NA,95.05,94.93,NA,102.47,NA,NA,NA,613.1,NA,1089.51,NA
06-04-99,2809.4,NA,6001.65,NA,NA,NA,95.05,94.93,NA,101.65,NA,NA,NA,710.13,NA,1086.98,NA
07-04-99,2811.52,NA,6002.99,NA,NA,NA,95.23,94.78,NA,101.2,NA,NA,NA,715.62,NA,1084.36,NA
08-04-99,2812.04,NA,6006.08,NA,NA,NA,95.23,94.78,NA,100.98,NA,NA,NA,714.37,NA,1085.51,NA
09-04-99,2806.23,NA,6075.07,NA,NA,NA,97.44,97.91,NA,100.07,NA,NA,NA,735.15,NA,1085.51,NA
12-04-99,2813.47,NA,6093.54,NA,NA,NA,99.4,100.91,NA,99.77,NA,NA,NA,765.75,NA,1081.73,NA
13-04-99,2802.11,NA,6195.92,NA,NA,NA,99.4,100.91,NA,99.63,NA,NA,NA,773.72,NA,1079.62,NA
14-04-99,2785.7,NA,6266.53,NA,NA,NA,98.93,100.41,NA,98.96,NA,NA,NA,815.31,NA,1069.79,NA
15-04-99,2793.95,NA,6395.72,NA,NA,NA,98.93,100.41,NA,98.71,NA,NA,NA,833.58,NA,1066.53,NA
16-04-99,2786.45,NA,6540.38,NA,NA,NA,98.78,99.91,NA,97.73,NA,NA,NA,859.42,NA,1066.53,NA
19-04-99,2794.5,NA,6602.82,NA,NA,NA,100.9,102.82,NA,97.29,NA,NA,NA,942.37,NA,1061.82,NA
20-04-99,2787.49,NA,6529.83,NA,NA,NA,100.9,102.82,NA,96.57,NA,NA,NA,1026.09,NA,1064.81,NA
21-04-99,2793.28,NA,6378.93,NA,NA,NA,98.2,98.88,NA,96.21,NA,NA,NA,1073.79,NA,1057.33,NA
22-04-99,2782.22,NA,6329.51,NA,NA,NA,98.2,98.88,NA,95.55,NA,NA,NA,1234.66,NA,1057.33,NA
23-04-99,2782.22,NA,6377.38,NA,NA,NA,97.14,97.22,NA,95.88,NA,NA,NA,1285.51,NA,1058,NA
26-04-99,2782.22,NA,6408.49,NA,NA,NA,96.42,96.28,NA,95.88,NA,NA,NA,1253.08,NA,1058.39,NA
27-04-99,2777.8,NA,6408.49,NA,NA,NA,96.42,96.28,NA,95.74,NA,NA,NA,1252.83,NA,1058.89,NA
28-04-99,2777.8,NA,6526.63,NA,NA,NA,95.57,95.27,NA,96.19,NA,NA,NA,1240.22,NA,1060.4,NA
29-04-99,2777.8,NA,6569.72,NA,NA,NA,95.57,95.27,NA,96.07,NA,NA,NA,1323.61,NA,1063.53,NA
30-04-99,2767.89,NA,6678.44,NA,NA,NA,95.08,94.58,NA,95.82,NA,NA,NA,1350.9,NA,1069.29,NA
03-05-99,2763.26,NA,6616.09,NA,NA,NA,92.77,91.33,NA,95.82,NA,NA,NA,1374.13,NA,1071.58,NA
04-05-99,2767.33,NA,6625.99,NA,NA,NA,92.77,91.33,NA,95.72,NA,NA,NA,1380.47,NA,1071.58,NA
05-05-99,2775.6,NA,6509.56,NA,NA,NA,94.54,93.85,NA,96.28,NA,NA,NA,1373.02,NA,1071.26,NA
06-05-99,2768.16,NA,6550.45,NA,NA,NA,94.54,93.85,NA,95.45,NA,NA,NA,1478.46,NA,1070.65,NA
07-05-99,2768.16,NA,6498.27,NA,NA,NA,95.5,95.3,NA,95.07,NA,NA,NA,1482.87,NA,1070.65,NA
10-05-99,2754.13,NA,6467.82,NA,NA,NA,95.66,95.49,NA,95.21,NA,NA,NA,1540.59,NA,1076.11,NA
11-05-99,2740.32,NA,6463.28,NA,NA,NA,95.66,95.49,NA,95.36,NA,NA,NA,1592.68,NA,1074.66,NA
12-05-99,2738.26,NA,6375.67,NA,NA,NA,96.13,96.32,NA,95.22,NA,NA,NA,1664.33,NA,1070.97,NA
13-05-99,2742.96,NA,6392.29,NA,NA,NA,96.13,96.32,NA,94.97,NA,NA,NA,1765.22,NA,1071.03,NA
14-05-99,2750.54,NA,6336.33,NA,NA,NA,96.61,96.96,NA,95.23,NA,NA,NA,1837.61,NA,1064.86,NA
17-05-99,2752.66,NA,6238.67,NA,NA,NA,96.82,97.28,NA,95.86,NA,NA,NA,2114.83,NA,1076.07,NA
18-05-99,2756.01,NA,6292.79,NA,NA,NA,96.82,97.28,NA,95.15,NA,NA,NA,2097.31,NA,1071.98,NA
19-05-99,2756.01,NA,6269.46,NA,NA,NA,96.52,96.9,NA,95.27,NA,NA,NA,2077.5,NA,1074.77,NA
20-05-99,2753.92,NA,6290.86,NA,NA,NA,96.52,96.9,NA,95.04,NA,NA,NA,2321.74,NA,1075.84,NA
21-05-99,2745.42,NA,6371.14,NA,NA,NA,96.52,96.9,NA,95.1,NA,NA,NA,2506.79,NA,1075.25,NA
24-05-99,2743.84,NA,6328.99,NA,NA,NA,96.52,96.9,NA,95.04,NA,NA,NA,3001.54,NA,1079.77,NA
25-05-99,2752.5,NA,6269.14,NA,NA,NA,96.52,96.9,NA,95.49,NA,NA,NA,3064.58,NA,1079.77,NA
26-05-99,2749.37,NA,6214.93,NA,NA,NA,95.93,96.62,NA,95.99,NA,NA,NA,3080.91,NA,1076.86,NA
27-05-99,2765.74,NA,6139.05,NA,NA,NA,95.93,96.62,NA,96.8,NA,NA,NA,3262.21,NA,1073.79,NA
28-05-99,2762.85,NA,6139.59,NA,NA,NA,96.22,97.04,NA,96.95,NA,NA,NA,3445.57,NA,1075.18,NA
31-05-99,2760.05,NA,6146.74,NA,NA,NA,96.02,96.81,NA,97.02,NA,NA,NA,3539.44,NA,1076.68,NA
01-06-99,2760.05,NA,6325.47,NA,NA,NA,96.02,96.81,NA,96.43,NA,NA,NA,3533.52,NA,1078.22,NA
02-06-99,2760.05,NA,6325.47,NA,NA,NA,96.06,97.02,NA,96.48,NA,NA,NA,3964.85,NA,1075.55,NA
03-06-99,2748.16,NA,6439.41,NA,NA,NA,96.06,97.02,NA,96.67,NA,NA,NA,4312.93,NA,1077.27,NA
04-06-99,2778.41,NA,6427.22,NA,NA,NA,96.28,97.29,NA,96.67,NA,NA,NA,4440.46,NA,1079.86,NA
07-06-99,2784.95,NA,6550.31,NA,NA,NA,96.4,97.48,NA,96.82,NA,NA,NA,4000.16,NA,1080.9,NA
08-06-99,2802.09,NA,6574.8,NA,NA,NA,96.4,97.48,NA,97.21,NA,NA,NA,4062,NA,1079.59,NA
09-06-99,2795.43,NA,6596.52,NA,NA,NA,96.62,97.87,NA,97.66,NA,NA,NA,4169.03,NA,1078.74,NA
10-06-99,2780.62,NA,6603.39,NA,NA,NA,96.62,97.87,NA,97.9,NA,NA,NA,3900.59,NA,1074.36,NA
11-06-99,2780.62,NA,6669.5,NA,NA,NA,96.49,97.47,NA,97.9,NA,NA,NA,3683.56,NA,1070.29,NA
14-06-99,2780.22,NA,6655.48,NA,NA,NA,97.4,98.91,NA,97.69,NA,NA,NA,3620.7,NA,1066.33,NA
15-06-99,2780.22,NA,6654.38,NA,NA,NA,97.4,98.91,NA,98.83,NA,NA,NA,3353.94,NA,1061.41,NA
16-06-99,2783.96,NA,6654.38,NA,NA,NA,97.86,99.39,NA,99.13,NA,NA,NA,2802.01,NA,1061.41,NA
17-06-99,2773.97,NA,6662.18,NA,NA,NA,97.86,99.39,NA,100.07,NA,NA,NA,2505.88,NA,1059.39,NA
18-06-99,2773.97,NA,6676.75,NA,NA,NA,98.2,99.85,NA,101.29,NA,NA,NA,2420.15,NA,1059.39,NA
21-06-99,2751.83,NA,6760.53,NA,NA,NA,98.58,100.33,NA,102.3,NA,NA,NA,2381.74,NA,1059.72,NA
22-06-99,2753.37,NA,6716.61,NA,NA,NA,98.58,100.33,NA,102.3,NA,NA,NA,2182.5,NA,1055.86,NA
23-06-99,2761.15,NA,6658.69,NA,NA,NA,98.09,100.3,NA,102.67,NA,NA,NA,2143.37,NA,1056.72,NA
24-06-99,2756.85,NA,6642.53,NA,NA,NA,98.09,100.3,NA,102.62,NA,NA,NA,2498.32,NA,1056.21,NA
25-06-99,2760.39,NA,6628.11,NA,NA,NA,98.1,100.64,NA,103.49,NA,NA,NA,2744.57,NA,1054.12,NA
28-06-99,2766.02,NA,6669.26,NA,NA,NA,98.05,100.64,NA,102.95,NA,NA,NA,2840.97,NA,1056.41,NA
29-06-99,2761.7,NA,6652.72,NA,NA,NA,98.05,100.64,NA,101.81,NA,NA,NA,2701.93,NA,1054.71,NA
30-06-99,2756.43,NA,6721.15,NA,NA,NA,97.78,100.44,NA,101.49,NA,NA,NA,2807.26,NA,1050.73,NA
01-07-99,2757.08,NA,6842.4,NA,NA,NA,97.78,100.44,NA,100,NA,NA,NA,2669.18,NA,1055.37,NA
02-07-99,2765.57,NA,6889.49,NA,NA,NA,96.46,98.4,NA,99.53,NA,NA,NA,2658.01,NA,1062.45,NA
05-07-99,2794.19,NA,7001.1,NA,NA,NA,95.7,97.44,NA,99.37,NA,NA,NA,2794.89,NA,1063.04,NA
06-07-99,2793.38,NA,6944.92,NA,NA,NA,95.7,97.44,NA,98.37,NA,NA,NA,2638.76,NA,1057.55,NA
07-07-99,2793.18,NA,6911.34,NA,NA,NA,93.8,96.78,NA,98.12,NA,NA,NA,2628.22,NA,1055.46,NA
08-07-99,2799.34,NA,6901.22,NA,NA,NA,93.8,96.78,NA,98.11,NA,NA,NA,2887.51,NA,1055.31,NA
09-07-99,2776.71,NA,6897.24,NA,NA,NA,92.7,95.66,NA,97.74,NA,NA,NA,2907.73,NA,1055.31,NA
12-07-99,2777.89,NA,6957.08,NA,NA,NA,93.36,97.01,NA,97.9,NA,NA,NA,2823.8,NA,1056.68,NA
13-07-99,2782.49,NA,6872.17,NA,NA,NA,93.36,97.01,NA,98.1,NA,NA,NA,3017.85,NA,1055.91,NA
14-07-99,2776.35,NA,6891.85,NA,NA,NA,91.59,95.98,NA,98.26,NA,NA,NA,2934.45,NA,1059.02,NA
15-07-99,2767.77,NA,6892.46,NA,NA,NA,91.59,95.98,NA,97.95,NA,NA,NA,2910.35,NA,1064.13,NA
16-07-99,2774.49,NA,6850.44,NA,NA,NA,90.05,93.7,NA,98.09,NA,NA,NA,3118.49,NA,1065.27,NA
19-07-99,2774.3,NA,6860.64,NA,NA,NA,90.08,93.66,NA,97.62,NA,NA,NA,3124.24,NA,1061.35,NA
20-07-99,2772.76,NA,6804.96,NA,NA,NA,90.08,93.66,NA,97.58,NA,NA,NA,3303.41,NA,1063.41,NA
21-07-99,2769.97,NA,6760.38,NA,NA,NA,89.44,92.51,NA,97.44,NA,NA,NA,3303.92,NA,1067.1,NA
22-07-99,2756.67,NA,6791.96,NA,NA,NA,89.44,92.51,NA,97.08,NA,NA,NA,3404.08,NA,1070.36,NA
23-07-99,2758.98,NA,6836.53,NA,NA,NA,89.94,93.11,NA,96.45,NA,NA,NA,3702.64,NA,1075.53,NA
26-07-99,2771.18,NA,6785.65,NA,NA,NA,90.24,93.52,NA,96.37,NA,NA,NA,3677.81,NA,1076.85,NA
27-07-99,2758.36,NA,6795.57,NA,NA,NA,90.24,93.52,NA,95.22,NA,NA,NA,3935.61,NA,1074.12,NA
28-07-99,2772.57,NA,6819.79,NA,NA,NA,89.97,93.15,NA,94.99,NA,NA,NA,4084.66,NA,1076.05,NA
29-07-99,2762.2,NA,6806.28,NA,NA,NA,89.97,93.15,NA,94.8,NA,NA,NA,3917.38,NA,1074.7,NA
30-07-99,2744.55,NA,6822.68,NA,NA,NA,89.53,92.63,NA,95.33,NA,NA,NA,4044.38,NA,1078.79,NA
02-08-99,2754.45,NA,6793.83,NA,NA,NA,89.81,92.99,NA,95.52,NA,NA,NA,3766.4,NA,1078.79,NA
03-08-99,2754.41,NA,6851.7,NA,NA,NA,89.81,92.99,NA,95.38,NA,NA,NA,3823.12,NA,1078.79,NA
04-08-99,2757.1,NA,6947.61,NA,NA,NA,90.3,93.56,NA,95.24,NA,NA,NA,3741.99,NA,1095.48,NA
05-08-99,2762.93,NA,6925.02,NA,NA,NA,90.3,93.56,NA,95.12,NA,NA,NA,3762.48,NA,1097.56,NA
06-08-99,2750.87,NA,6891.61,NA,NA,NA,90.08,93.32,NA,94.55,NA,NA,NA,4169.83,NA,1102.93,NA
09-08-99,2746.4,NA,6891.61,NA,NA,NA,89.9,93.02,NA,94.17,NA,NA,NA,3885.74,NA,1102.93,NA
10-08-99,2753.88,NA,6835.16,NA,NA,NA,89.9,93.02,NA,94.01,NA,NA,NA,3875.63,NA,1094.42,NA
11-08-99,2748.25,NA,6843.72,NA,NA,NA,89.14,92.24,NA,94.01,NA,NA,NA,3925.55,NA,1102.36,NA
12-08-99,2762.51,NA,6961.63,NA,NA,NA,89.14,92.24,NA,93.76,NA,NA,NA,3921.8,NA,1107.17,NA
13-08-99,2745.72,NA,6955.09,NA,NA,NA,89.02,92.16,NA,93.76,NA,NA,NA,3857.27,NA,1107.17,NA
16-08-99,2745.72,NA,6927.98,NA,NA,NA,88.97,92.26,NA,94.22,NA,NA,NA,3876.42,NA,1111.78,NA
17-08-99,2717.38,NA,6903.64,NA,NA,NA,88.97,92.26,NA,94.38,NA,NA,NA,3829.32,NA,1106.64,NA
18-08-99,2642.6,NA,6938.07,NA,NA,NA,88.63,91.7,NA,95.08,NA,NA,NA,3732.53,NA,1106.64,NA
19-08-99,2597,NA,6865.42,NA,NA,NA,88.63,91.7,NA,95.23,NA,NA,NA,3708.08,NA,1106.64,NA
20-08-99,2588.75,NA,6850.67,NA,NA,NA,88.33,91.25,NA,95.55,NA,NA,NA,3669.5,NA,1106.64,NA
23-08-99,2593.28,NA,6852.45,NA,NA,NA,88.29,91.29,NA,96.15,NA,NA,NA,3609.79,NA,1117.44,NA
24-08-99,2581.97,NA,6805.14,NA,NA,NA,88.29,91.29,NA,96.09,NA,NA,NA,3725.23,NA,1125.26,NA
25-08-99,2575.3,NA,6811.04,NA,NA,NA,87.83,90.73,NA,96.79,NA,NA,NA,3649.99,NA,1131.86,NA
26-08-99,2569.51,NA,6759.99,NA,NA,NA,87.83,90.73,NA,97.07,NA,NA,NA,3936.56,NA,1133.6,NA
27-08-99,2561.27,NA,6757.6,NA,NA,NA,87.32,89.89,NA,96.98,NA,NA,NA,4165.87,NA,1132.34,NA
30-08-99,2557.29,NA,6749.02,NA,NA,NA,87.35,89.96,NA,97.24,NA,NA,NA,4277.1,NA,1131.54,NA
31-08-99,2493.5,NA,6673.17,NA,NA,NA,87.35,89.96,NA,97.25,NA,NA,NA,4420.56,NA,1130.49,NA
01-09-99,2490.94,NA,6697.73,NA,NA,NA,87.44,90.08,NA,97.35,NA,NA,NA,4568.06,NA,1126.58,NA
02-09-99,2479.27,NA,6647,NA,NA,NA,87.44,90.08,NA,97.6,NA,NA,NA,4750.19,NA,1124.76,NA
03-09-99,2477.33,NA,6636.61,NA,NA,NA,87.79,90.7,NA,98.09,NA,NA,NA,4772.55,NA,1122.82,NA
06-09-99,2493.05,NA,6645.54,NA,NA,NA,87.85,90.84,NA,98.17,NA,NA,NA,4796.89,NA,1121.15,NA
07-09-99,2499.13,NA,6644.18,NA,NA,NA,87.85,90.84,NA,98.47,NA,NA,NA,5003.38,NA,1119.79,NA
08-09-99,2501.36,NA,6581.64,NA,NA,NA,87.7,90.67,NA,98.74,NA,NA,NA,5100.24,NA,1120.83,NA
09-09-99,2466.88,NA,6531.41,NA,NA,NA,87.7,90.67,NA,99.88,NA,NA,NA,5300.1,NA,1121.06,NA
10-09-99,2420.54,NA,6504.05,NA,NA,NA,87.55,90.49,NA,100.05,NA,NA,NA,5395.32,NA,1123.88,NA
13-09-99,2434.24,NA,6457.58,NA,NA,NA,87.4,90.5,NA,100.15,NA,NA,NA,5297.22,NA,1121.07,NA
14-09-99,2415.76,NA,6532.65,NA,NA,NA,87.4,90.5,NA,100.15,NA,NA,NA,5814.49,NA,1124.31,NA
15-09-99,2403.18,NA,6547.86,NA,NA,NA,87.06,90.11,NA,99.89,NA,NA,NA,5985.35,NA,1126.8,NA
16-09-99,2405,NA,6464.53,NA,NA,NA,87.06,90.11,NA,99.91,NA,NA,NA,6027.98,NA,1131.22,NA
17-09-99,2413.38,NA,6427.71,NA,NA,NA,87.06,90.11,NA,99.51,NA,NA,NA,6111.15,NA,1131.04,NA
20-09-99,2403.39,NA,6419.78,NA,NA,NA,86.99,90.09,NA,99.35,NA,NA,NA,6134.17,NA,1131.78,NA
21-09-99,2392.23,NA,6371.81,NA,NA,NA,86.99,90.09,NA,99.56,NA,NA,NA,6208.63,NA,1136.02,NA
22-09-99,2399.49,NA,6359.64,NA,NA,NA,87.26,89.94,NA,99.68,NA,NA,NA,6222.36,NA,1136.78,NA
23-09-99,2408.55,NA,6378.07,NA,NA,NA,87.26,89.94,NA,98.94,NA,NA,NA,6170.77,NA,1136.04,NA
24-09-99,2397.5,NA,6378.07,NA,NA,NA,87.18,89.94,NA,98,NA,NA,NA,6166.79,NA,1134.33,NA
27-09-99,2404.78,NA,6524.99,NA,NA,NA,87.14,89.94,NA,98.11,NA,NA,NA,6160.66,NA,1136.61,NA
28-09-99,2414.28,NA,6654.04,NA,NA,NA,87.14,89.94,NA,97.89,NA,NA,NA,6172.03,NA,1135.83,NA
29-09-99,2418.36,NA,6638.44,NA,NA,NA,87.13,89.95,NA,97.72,NA,NA,NA,6149.86,NA,1135.83,NA
30-09-99,2428.09,NA,6628.98,NA,NA,NA,87.13,89.95,NA,97.55,NA,NA,NA,6099.65,NA,1145.09,NA
01-10-99,2423.64,NA,6698.06,NA,NA,NA,87.03,89.99,NA,97.71,NA,NA,NA,5994.04,NA,1148.53,NA
04-10-99,2423.64,NA,6878.7,NA,NA,NA,86.92,90.05,NA,97.79,NA,NA,NA,5922.62,NA,1151.5,NA
05-10-99,2414.88,NA,6966.63,NA,NA,NA,86.92,90.05,NA,97.75,NA,NA,NA,5842.08,NA,1155.32,NA
06-10-99,2354.45,NA,6979.93,NA,NA,NA,87.5,90.67,NA,97.87,NA,NA,NA,5847.31,NA,1160.44,NA
07-10-99,2354.45,NA,7118.78,NA,NA,NA,87.5,90.67,NA,98.14,NA,NA,NA,5826.42,NA,1171.78,NA
